t,Open,High,Low,Close,Volume,VolumeWeighted
2020-12-31 14:30:00,699.99,700.95,697.295,700.19,10499,699.00381
2020-12-31 14:31:00,700.7,703.67,699.86,701.87,8683,701.975924
2020-12-31 14:32:00,700.74,702.5,700.74,702.23,1997,701.784508
2020-12-31 14:33:00,701.89,701.89,700.0,700.0,4133,701.074808
2020-12-31 14:34:00,697.9,698.92,697.08,697.8,3575,697.949412
2020-12-31 14:35:00,698.13,699.65,696.91,699.42,4281,698.26
2020-12-31 14:36:00,699.09,699.45,697.0,697.56,5435,697.712693
2020-12-31 14:37:00,697.425,698.23,697.41,697.75,3215,697.747229
2020-12-31 14:38:00,697.34,697.5,696.14,697.5,2573,696.833864
2020-12-31 14:39:00,697.2,700.49,697.05,700.49,3524,698.649746
2020-12-31 14:40:00,700.5,701.59,700.5,701.59,3011,701.032331
2020-12-31 14:41:00,701.355,701.355,700.765,701.0,2271,700.978125
2020-12-31 14:42:00,700.85,700.91,697.55,698.46,2677,699.020588
2020-12-31 14:43:00,698.64,698.86,698.145,698.85,1458,698.425
2020-12-31 14:44:00,699.49,699.49,698.41,698.555,2238,698.725
2020-12-31 14:45:00,698.4,698.86,697.35,697.84,2031,698.213721
2020-12-31 14:46:00,697.86,697.93,696.99,697.93,2138,697.69
2020-12-31 14:47:00,697.65,697.65,694.77,694.78,4120,695.883759
2020-12-31 14:48:00,694.57,695.13,693.48,693.48,1515,694.33
2020-12-31 14:49:00,693.915,694.63,693.64,694.63,798,694.263333
2020-12-31 14:50:00,694.61,696.23,694.61,696.03,2706,695.745359
2020-12-31 14:51:00,694.955,694.955,694.575,694.575,1111,694.772222
2020-12-31 14:52:00,694.35,696.04,694.35,695.8,1385,695.624695
2020-12-31 14:53:00,695.81,696.95,695.04,696.87,2425,695.941314
2020-12-31 14:54:00,696.14,696.14,695.56,695.655,1034,695.745
2020-12-31 14:55:00,695.39,695.39,692.4,692.58,2360,693.761875
2020-12-31 14:56:00,692.56,692.56,691.22,691.22,1531,692.002
2020-12-31 14:57:00,692.95,694.065,692.63,692.83,1815,693.141923
2020-12-31 14:58:00,693.27,693.685,693.03,693.09,1087,693.381429
2020-12-31 14:59:00,692.87,694.02,692.87,694.0,2061,693.425455
2020-12-31 15:00:00,693.42,694.49,693.4,694.29,2352,694.151875
2020-12-31 15:01:00,692.71,695.31,692.71,695.31,1128,693.6725
2020-12-31 15:02:00,696.305,696.57,695.72,696.54,3835,696.140625
2020-12-31 15:03:00,696.07,696.39,695.75,696.38,1587,696.116429
2020-12-31 15:04:00,697.14,697.15,696.575,696.61,1834,696.789706
